diputado_id,nombre,comite,img_url,fecha_namcimiento,profesion,region,distrito,partido
978,Felipe De Mussy Hiriart,Unión Demócrata Independiente,/img.aspx?prmid=g978,28 de septiembre de 1982,Ingeniero civil industrial,X,56,UDI
979,Sergio Espejo Yaksic,Partido Demócrata Cristiano,/img.aspx?prmid=g979,15 de marzo de 1967,Abogado,VI,35,DC
980,Daniel Farcas Guendelman,Partido Por la Democracia,/img.aspx?prmid=g980,2 de noviembre de 1963,,RM,17,PPD
981,Maya Fernández Allende,Partido Socialista,/img.aspx?prmid=g981,27 de septiembre de 1971,Bióloga y Medico Veterinaria,RM,21,PS
982,Iván Flores García,Partido Demócrata Cristiano,/img.aspx?prmid=g982,15 de junio de 1955,"Médico veterinario, con especialización en Desarrollo Social",XIV,53,DC
983,Iván Fuentes Castillo,Partido Demócrata Cristiano,/img.aspx?prmid=g983,24 de julio de 1967,Pescador Artesanal,XI,59,IND
984,Gonzalo Fuenzalida Figueroa,Renovación Nacional,/img.aspx?prmid=g984,18 de junio de 1973,Abogado,XIV,54,RN
985,Sergio Gahona Salazar,Unión Demócrata Independiente,/img.aspx?prmid=g985,15 de septiembre de 1965,"Licenciado en Educación., Matrón",IV,7,UDI
986,Marcela Hernando Pérez,Partido Radical Social Demócrata,/img.aspx?prmid=g986,12 de febrero de 1960,Médico cirujano,II,4,PRSD
987,Giorgio Jackson Drago,Mixto e Independientes,/img.aspx?prmid=g987,6 de febrero de 1987,Ingeniero Civil Industrial,RM,22,REVD
988,Felipe Kast Sommerhoff,Renovación Nacional,/img.aspx?prmid=g988,9 de junio de 1977,"Ingeniero Comercial, con Mención en Economía",RM,22,EVOP
989,Joaquín Lavín León,Unión Demócrata Independiente,/img.aspx?prmid=g989,25 de mayo de 1979,Licenciado en Administración y Dirección de Empresas,RM,20,UDI
990,Daniel Melo Contreras,Partido Socialista,/img.aspx?prmid=g990,18 de febrero de 1979,Sociólogo,RM,27,PS
991,Vlado Mirosevic Verdugo,Mixto e Independientes,/img.aspx?prmid=g991,23 de mayo de 1987,Cientista Político,XV,1,PL
992,Juan Enrique Morano Cornejo,Partido Demócrata Cristiano,/img.aspx?prmid=g992,10 de septiembre de 1952,Técnico de Procesos Industriales,XII,60,DC
993,Daniel Núñez Arancibia,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g993,7 de enero de 1971,Sociólogo,IV,8,PC
994,Paulina Núñez Urrutia,Renovación Nacional,/img.aspx?prmid=g994,30 de diciembre de 1982,Abogada,II,4,RN
995,Diego Paulsen Kehr,Renovación Nacional,/img.aspx?prmid=g995,1 de agosto de 1987,Abogado,IX,49,RN
996,Jaime Pilowsky Greene,Partido Demócrata Cristiano,/img.aspx?prmid=g996,3 de diciembre de 1965,Abogado,RM,24,DC
997,Roberto Poblete Zapata,Partido Socialista,/img.aspx?prmid=g997,8 de enero de 1955,Actor,VIII,47,IND
998,Yasna Provoste Campillay,Partido Demócrata Cristiano,/img.aspx?prmid=g998,16 de diciembre de 1969,Profesora,III,6,DC
999,Jorge Rathgeb Schifferli,Renovación Nacional,/img.aspx?prmid=g999,28 de diciembre de 1967,"Abogado, Post-títulos en Comercio Exterior y Gestión y Desarrollo Local",IX,48,RN
1e3,Luis Rocafull López,Partido Socialista,/img.aspx?prmid=g1000,17 de septiembre de 1958,Ingeniero en Ejecución en Administración,XV,1,PS
1001,Raúl Saldívar Auger,Partido Socialista,/img.aspx?prmid=g1001,2 de junio de 1951,Profesor de Estado en Artes Plásticas,IV,7,PS
1002,Leonardo Soto Ferrada,Partido Socialista,/img.aspx?prmid=g1002,15 de mayo de 1966,Abogado,RM,30,PS
1003,Renzo Trisotti Martínez,Unión Demócrata Independiente,/img.aspx?prmid=g1003,15 de marzo de 1976,Abogado,I,2,UDI
1004,Christian Urízar Muñoz,Partido Socialista,/img.aspx?prmid=g1004,27 de mayo de 1968,Ingeniero Civil Químico,V,10,PS
1005,Osvaldo Urrutia Soto,Unión Demócrata Independiente,/img.aspx?prmid=g1005,28 de noviembre de 1951,Ingeniero Constructor. PUCV,V,14,UDI
1006,Camila Vallejo Dowling,Partido Comunista - Izquierda Ciudadana,/img.aspx?prmid=g1006,28 de abril de 1988,Geógrafa,RM,26,PC
1007,Miguel Ángel Alvarado Ramírez,Partido Por la Democracia,/img.aspx?prmid=g1007,10 de julio de 1961,Médico Cirujano,IV,9,PPD
