stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
PH561,PH561,20 Sur / Santa Anita,-33.5180837799,-70.6883479377,
PI848,PI848,Vista Hermosa / Av. Las Parcelas,-33.4657609488,-70.7174791329,
PH568,PH568,1 Sur / Maipú,-33.5089768227,-70.6864377014,
PH569,PH569,6 Sur / Maipú,-33.5108437713,-70.6874292552,
PI849,PI849,El Altarcillo / Av. Las Parcelas,-33.4668489591,-70.719951821,
PA370,PA370,Parada 9 / (M) Los Héroes,-33.4471254976,-70.6630359403,
PA371,PA371,Parada 5 / (M) Santa Lucía,-33.4427709732,-70.6453193426,
PA372,PA372,Parada 8 / Plaza Italia,-33.438269453,-70.637503061,
PA373,PA373,Parada 9 / Plaza Italia,-33.4376282603,-70.6370586019,
PA374,PA374,Parada 10 / (M) Santa Lucía,-33.4430819931,-70.6482809612,
PA375,PA375,Parada 2 / (M) U. De Chile,-33.4439181601,-70.652190584,
PA376,PA376,Parada 2 / (M) La Moneda,-33.4449074799,-70.6565548923,
PA377,PA377,Parada 2 / (M) Los Héroes,-33.4461694714,-70.661980452,
PA378,PA378,Parada 1 / (M) Estación Central,-33.450167803,-70.6789379518,
PC288,PC288,San Damián / Av. Las Condes,-33.3766271992,-70.5259538641,
PC289,PC289,Mayflower - Dunalastair,-33.3744257258,-70.5208363181,
PC286,PC286,Cerro Sombrero / Av. Las Condes,-33.3890649987,-70.5399729816,
PC287,PC287,Pdte. Kennedy / Av. Las Condes,-33.3870477247,-70.5383307474,
PC284,PC284,Padre Hurtado / Av. Las Condes,-33.3945786401,-70.5459418947,
PC285,PC285,Abadía / Av. Las Condes,-33.3920959796,-70.5427141067,
PC282,PC282,Est. Israelita / Av. Las Condes,-33.3964895121,-70.549683861,
PC283,PC283,Hosp. Fach,-33.3956569036,-70.5488044435,
PC280,PC280,Paul Klee / Av. Las Condes,-33.4010714535,-70.5544192917,
PC281,PC281,Bocaccio / Av. Las Condes,-33.3985102566,-70.5515405647,
PE619,PE619,Av. Santa Rosa / Alborada,-33.5452261733,-70.6334483742,
PE618,PE618,Consistorial / Diagonal Sur Oriente,-33.5450680754,-70.6307541267,
PE613,PE613,Las Parcelas / Canto General,-33.5501975519,-70.621318208,
PE612,PE612,Río Maullín / La Serena,-33.5503502904,-70.617805244,
PE611,PE611,La Serena / Pedro Lira,-33.5520979487,-70.6170853828,
PE610,PE610,Vicuña / Pedro Lira,-33.5519468841,-70.6152973215,
PE617,PE617,San Martín / Sofía Eastman,-33.5474687155,-70.6296304581,
PE616,PE616,Sofía Eastman / Las Uvas Y El Viento,-33.5492696272,-70.6292135355,
PE615,PE615,Alejandro Muñoz / Las Uvas Y El Viento,-33.5492819682,-70.6269382056,
PE614,PE614,Manuel Plaza / Joaquín Edwards Bello,-33.5498863594,-70.6249750994,
PB883,PB883,El Lucero / Barón De Juras Reales,-33.3983921077,-70.6778429409,
PB882,PB882,Roma / Barón De Juras Reales,-33.4006266925,-70.6766994319,
PB880,PB880,Reina María / Las Araucarias,-33.4030291634,-70.6754308168,
PB887,PB887,6 Norte / Barón De Juras Reales,-33.3923789198,-70.6829755994,
PB886,PB886,El Olivo / Barón De Juras Reales,-33.3938707548,-70.6821684684,
PB885,PB885,Aviador Zañartu / Barón De Juras Reales,-33.3956228514,-70.6811617279,
PB884,PB884,Santa Inés / Barón De Juras Reales,-33.3972505243,-70.6792997494,
PB889,PB889,Av. Los Zapadores / Barón De Juras Reales,-33.3882502454,-70.6846186471,
PB888,PB888,Parral / Barón De Juras Reales,-33.3907562245,-70.6833706888,
PB100,PB100,Themis / Av. Vicuña Mackenna,-33.4101235343,-70.7462402982,
PD874,PD874,Ramón Cruz / Rodrigo De Araya,-33.4720417646,-70.5817983631,
PD875,PD875,Santa Julia / Rodrigo De Araya,-33.473612778,-70.5918610686,
PD876,PD876,Brown Sur / Rodrigo De Araya,-33.4734699247,-70.5946740802,
PD877,PD877,Parada 4 / Colegio San Marcos,-33.4735868616,-70.5985123185,
PD870,PD870,Parada 2 / Fraternidad - Av. Grecia,-33.4703079771,-70.5704536183,
PD871,PD871,Parada 6 / Cruz Almeyda - Av. Grecia,-33.4696240628,-70.5730389964,
PD872,PD872,Parada 2 / (M) Grecia,-33.4692645142,-70.5753950858,
PD873,PD873,Pasaje 36 / Rodrigo De Araya,-33.4710187531,-70.5798023758,
PJ623,PJ623,Corona Sueca / Av. Las Torres,-33.4488659008,-70.7310793488,
PD878,PD878,Las Dalias / Rodrigo De Araya,-33.4738152012,-70.6024508638,
PD879,PD879,Av. Pedro De Valdivia / Rodrigo De Araya,-33.4739858025,-70.606075214,
PE506,PE506,San Francisco / Av. Las Perdices,-33.5196132781,-70.546796549,
